Country,Population
World,"8,119,000,000"
China,"1,409,670,000"
"1,404,910,000",17.3%
United States,"335,893,238"
Indonesia,"281,603,800"
Pakistan,"241,499,431"
Nigeria,"223,800,000"
Brazil,"203,080,756"
Bangladesh,"169,828,911"
Russia,"146,150,789"
Mexico,"129,940,228"
Japan,"123,780,000"
Philippines,"114,163,719"
Ethiopia,"109,499,000"
Egypt,"105,914,499"
Democratic Republic of the Congo,"105,247,000"
Vietnam,"100,300,000"
Turkey,"85,372,377"
Iran,"85,000,000"
Germany,"84,708,010"
France,"68,513,000"
United Kingdom,"68,265,209"
Thailand,"65,969,270"
South Africa,"63,015,904"
Tanzania,"61,741,120"
Italy,"58,979,364"
Myanmar,"56,712,559"
Colombia,"52,695,952"
Kenya,"52,428,290"
South Korea,"51,265,238"
Sudan,"50,448,963"
Spain,"48,797,875"
Argentina,"47,067,441"
Algeria,"46,700,000"
Uganda,"45,935,046"
Iraq,"44,414,800"
Canada,"41,288,599"
Poland,"37,552,000"
Morocco,"37,369,652"
Uzbekistan,"36,963,262"
Ukraine,"36,700,000"
Angola,"35,121,734"
Afghanistan,"34,262,840"
Peru,"34,038,457"
Malaysia,"33,980,600"
Mozambique,"32,419,747"
Saudi Arabia,"32,175,224"
Yemen,"31,888,698"
Ghana,"30,832,019"
Madagascar,"30,811,969"
Ivory Coast,"29,389,150"
Nepal,"29,164,578"
Cameroon,"28,758,503"
Venezuela,"28,405,543"
Australia,"27,122,411"
Niger,"26,312,034"
North Korea,"25,950,000"
Syria,"24,672,760"
Burkina Faso,"23,409,015"
Taiwan,"23,406,608"
Mali,"22,395,489"
Sri Lanka,"21,916,000"
Malawi,"20,270,568"
Kazakhstan,"20,201,849"
Chile,"20,086,377"
Zambia,"19,610,769"
Romania,"19,064,409"
Chad,"18,675,547"
Somalia,"18,143,379"
Senegal,"18,126,390"
Netherlands,"18,005,142"
Guatemala,"17,843,132"
Cambodia,"17,336,307"
Ecuador,"16,938,986"
Zimbabwe,"15,178,979"
South Sudan,"14,746,494"
Rwanda,"13,798,561"
Guinea,"13,261,638"
Benin,"12,910,087"
Burundi,"12,837,740"
Bolivia,"12,006,031"
Tunisia,"11,850,232"
Belgium,"11,839,987"
Papua New Guinea,"11,781,559"
Haiti,"11,743,017"
Jordan,"11,516,000"
Cuba,"11,089,511"
Czech Republic,"10,879,069"
Dominican Republic,"10,760,028"
Portugal,"10,639,726"
Sweden,"10,564,484"
Greece,"10,413,982"
United Arab Emirates,"10,288,946"
Tajikistan,"10,277,100"
Azerbaijan,"10,200,013"
Israel,"9,934,800"
Honduras,"9,892,632"
Hungary,"9,584,627"
Austria,"9,179,693"
Belarus,"9,155,978"
Switzerland,"9,002,763"
Sierra Leone,"8,494,260"
Togo,"8,095,498"
Hong Kong (China),"7,531,800"
Laos,"7,443,000"
Libya,"7,381,023"
Kyrgyzstan,"7,100,000"
Turkmenistan,"7,057,841"
El Salvador,"6,884,888"
Nicaragua,"6,803,886"
Serbia,"6,605,168"
Central African Republic,"6,470,307"
Bulgaria,"6,445,481"
Republic of the Congo,"6,142,180"
Paraguay,"6,109,644"
Singapore,"6,036,900"
Denmark,"5,972,420"
Finland,"5,625,011"
Norway,"5,571,634"
Lebanon,"5,490,000"
Palestine,"5,483,450"
Slovakia,"5,422,194"
Ireland,"5,380,300"
New Zealand,"5,338,500"
Costa Rica,"5,309,625"
Liberia,"5,248,621"
Oman,"5,219,940"
Kuwait,"4,913,271"
Mauritania,"4,475,683"
Panama,"4,064,780"
Croatia,"3,859,686"
Eritrea,"3,748,902"
Georgia,"3,694,600"
Mongolia,"3,504,741"
Uruguay,"3,444,263"
Bosnia and Herzegovina,"3,264,873"
Puerto Rico (US),"3,205,691"
Armenia,"3,039,700"
Namibia,"3,022,401"
Lithuania,"2,893,887"
Qatar,"2,857,822"
Jamaica,"2,825,544"
Moldova,"2,423,300"
Gambia,"2,417,471"
Botswana,"2,410,338"
Gabon,"2,408,586"
Albania,"2,402,113"
Lesotho,"2,306,000"
Slovenia,"2,124,709"
Latvia,"1,859,800"
North Macedonia,"1,826,247"
Guinea-Bissau,"1,781,308"
Kosovo,"1,762,220"
Bahrain,"1,588,670"
Equatorial Guinea,"1,558,160"
Estonia,"1,374,687"
East Timor,"1,373,024"
Trinidad and Tobago,"1,367,510"
Mauritius,"1,259,509"
Eswatini,"1,235,549"
Djibouti,"1,001,454"
Cyprus,"918,100"
Comoros,"900,141"
Fiji,"893,468"
Bhutan,"777,224"
Guyana,"772,975"
Solomon Islands,"750,325"
Macau (China),"687,000"
Luxembourg,"672,020"
Montenegro,"616,695"
Suriname,"616,500"
Western Sahara,"587,259"
Malta,"542,051"
Maldives,"515,132"
Cape Verde,"491,233"
Brunei,"445,400"
Belize,"410,919"
Bahamas,"397,360"
Iceland,"386,970"
Northern Cyprus,"382,836"
Transnistria,"360,938"
Vanuatu,"321,409"
French Polynesia (France),"279,890"
New Caledonia (France),"268,510"
Barbados,"267,800"
Abkhazia,"244,236"
São Tomé and Príncipe,"228,319"
Samoa,"205,557"
Saint Lucia,"184,100"
Guam (US),"153,836"
Curaçao (Netherlands),"155,826"
Seychelles,"121,355"
Kiribati,"120,740"
Grenada,"112,579"
Saint Vincent and the Grenadines,"110,872"
Aruba (Netherlands),"107,151"
Micronesia,"105,754"
Antigua and Barbuda,"103,603"
Jersey (UK),"103,267"
Tonga,"100,179"
U.S. Virgin Islands (US),"87,146"
Andorra,"86,398"
Isle of Man (UK),"84,530"
Cayman Islands (UK),"71,105"
Dominica,"67,408"
Guernsey (UK),"64,769"
Bermuda (UK),"64,055"
Greenland (Denmark),"56,865"
South Ossetia,"56,520"
Faroe Islands (Denmark),"54,908"
Saint Kitts and Nevis,"51,320"
American Samoa (US),"49,710"
Turks and Caicos Islands (UK),"49,309"
Northern Mariana Islands (US),"47,329"
Marshall Islands,"42,418"
Sint Maarten (Netherlands),"41,349"
Liechtenstein,"40,023"
Monaco,"38,367"
Gibraltar (UK),"34,003"
San Marino,"33,975"
Saint Martin (France),"32,358"
British Virgin Islands (UK),"31,538"
Palau,"16,733"
Anguilla (UK),"15,780"
Cook Islands,"15,040"
Nauru,"11,680"
Wallis and Futuna (France),"11,620"
Tuvalu,"10,679"
Saint Barthélemy (France),"10,585"
Saint Pierre and Miquelon (France),"6,092"
"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651"
Montserrat (UK),"4,386"
Falkland Islands (UK),"3,662"
Norfolk Island (Australia),"2,188"
Christmas Island (Australia),"1,692"
Niue (New Zealand),"1,681"
Tokelau (New Zealand),"1,647"
Vatican City,764
Cocos (Keeling) Islands (Australia),593
Pitcairn Islands (UK),35
